key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Common.Time.Days,ي,d,j,t,日,일,d,d,g,g
Common.Time.Hours,س,h,h,st,時間,시간,h,h,sa,h
Common.Time.Minutes,د,m,m,m,分,분,m,m,dk,m
Common.Time.Remaining,{0} متبقي,{0} remaining,{0} restant,{0} verbleibend,残り{0},{0} 남음,{0} restante,{0} restante,{0} kaldı,{0} rimanente
Common.Time.Seconds,ث,s,s,s,秒,초,s,s,sn,s
Common.Unblock,إلغاء الحظر,Unblock,Débloquer,Freigeben,ブロック解除,차단 해제,Desbloquear,Desbloquear,Engeli Aç,Sblocca
Common.Unequip,إزالة,Unequip,Retirer,Ablegen,解除,해제,Remover,Quitar,Çıkar,Rimuovi
Common.Unknown,مجهول,Unknown,Inconnu,Unbekannt,不明,알 수 없음,Desconhecido,Desconocido,Bilinmiyor,Sconosciuto
Common.Unlock,فتح,Unlock,Débloquer,Freischalten,解放,잠금 해제,Desbloquear,Desbloquear,Aç,Sblocca
Common.Upgrade,ترقية,Upgrade,Améliorer,Verbessern,強化,강화,Melhorar,Mejorar,Yükselt,Potenzia
Common.Win,فوز,Win,Victoire,Sieg,勝利,승리,Vitória,Victoria,Galibiyet,Vittoria
Common.World,العالم,World,Monde,Welt,ワールド,월드,Mundo,Mundo,Dünya,Mondo
Common.Yes,نعم,Yes,Oui,Ja,はい,예,Sim,Sí,Evet,Sì
Common.YouSuffix,(أنت),(You),(Toi),(Du),(あなた),(나),(Você),(Tú),(Sen),(Tu)
Errors.Account.CloudSyncFailed,تم تسجيل الدخول، لكن تعذّرت مزامنة الحفظ السحابي. حاول لاحقاً.,"Signed in, but couldn't sync cloud save. Try again later.","Connecté, mais sync cloud échouée. Réessaie plus tard.","Angemeldet, aber Cloud-Sync fehlgeschlagen. Später erneut versuchen.",サインインしましたが、クラウドセーブの同期に失敗しました。後でお試しください。,로그인되었지만 클라우드 세이브 동기화에 실패했습니다. 잠시 후 다시 시도하세요.,"Conectado, mas falha na sinc. da nuvem. Tente mais tarde.","Sesión iniciada, pero falló la sinc. en la nube. Inténtalo más tarde.","Giriş yapıldı, ancak bulut kaydı eşitlenemedi. Daha sonra tekrar dene.","Accesso effettuato, ma sync cloud fallita. Riprova più tardi."
Errors.Account.PlayingAsGuest,أنت تلعب كضيف. سجّل الدخول لاحقاً للحفظ عبر الأجهزة.,You're playing as guest. Sign in later to save across devices.,Tu joues en tant qu'invité. Connecte-toi plus tard pour sauvegarder sur tous tes appareils.,"Du spielst als Gast. Melde dich später an, um auf allen Geräten zu speichern.",ゲストとしてプレイ中です。デバイス間で保存するには、後でサインインしてください。,게스트로 플레이 중입니다. 기기 간 저장을 위해 나중에 로그인하세요.,Você está jogando como convidado. Faça login depois para salvar entre dispositivos.,Estás jugando como invitado. Inicia sesión más tarde para guardar en todos los dispositivos.,Misafir olarak oynuyorsun. İlerlemeni cihazlar arasında kaydetmek için daha sonra giriş yap.,Stai giocando come ospite. Accedi più tardi per salvare su tutti i dispositivi.
Errors.Account.SaveFailedSigningOut,تعذّر حفظ آخر تقدم. جاري تسجيل الخروج رغم ذلك.,Couldn't save latest progress. Signing out anyway.,Impossible de sauvegarder. Déconnexion en cours.,Letzter Fortschritt konnte nicht gespeichert werden. Wird trotzdem abgemeldet.,最新の進行状況を保存できませんでした。それでもサインアウトします。,최근 진행 상황을 저장할 수 없습니다. 그래도 로그아웃합니다.,Não foi possível salvar o último progresso. Saindo mesmo assim.,No se pudo guardar el último progreso. Cerrando sesión de todos modos.,Son ilerleme kaydedilemedi. Yine de çıkış yapılıyor.,Impossibile salvare l'ultimo progresso. Disconnessione comunque in corso.
Errors.AdNotReady,الإعلان غير جاهز بعد.,Ad is not ready yet.,La pub n'est pas encore prête.,Werbung ist noch nicht bereit.,広告の準備ができていません。,광고가 아직 준비되지 않았습니다.,O anúncio ainda não está pronto.,El anuncio aún no está listo.,Reklam henüz hazır değil.,La pubblicità non è ancora pronta.
Errors.AutoForge.OneRarityRequired,يجب الإبقاء على ندرة واحدة على الأقل مفعّلة,At least one rarity must be kept active,Au moins une rareté doit rester active,Mindestens eine Seltenheit muss aktiv bleiben,レアリティを少なくとも1つ有効にしてください,최소 1개의 레어도가 활성 상태여야 합니다,Ao menos uma raridade deve permanecer ativa,Al menos una rareza debe permanecer activa,En az bir nadirlik aktif kalmalı,Almeno una rarità deve restare attiva
Errors.AutoForge.ReachLevelToUnlock,صل إلى المستوى {0} لفتح الفلتر,Reach Level {0} to unlock the filter,Atteins le Niveau {0} pour débloquer le filtre,"Erreiche Stufe {0}, um den Filter freizuschalten",フィルターを解放するにはレベル{0}に到達してください,필터 잠금을 해제하려면 레벨 {0}에 도달하세요,Alcance o Nível {0} para desbloquear o filtro,Alcanza el Nivel {0} para desbloquear el filtro,Filtreyi açmak için Seviye {0}'e ulaş,Raggiungi il Livello {0} per sbloccare il filtro
Errors.AutoForge.UpgradeMasteryToUnlock,رقّ الإتقان لفتحها,Upgrade Mastery to unlock,Améliore la Maîtrise pour débloquer,Verbessere die Meisterschaft zum Freischalten,解放には熟練度を強化してください,잠금 해제하려면 숙련도를 강화하세요,Melhore a Maestria para desbloquear,Mejora la Maestría para desbloquear,Açmak için Ustalığı yükselt,Migliora la Maestria per sbloccare
Errors.AutoForgeLocked,سيتم فتح الجمع التلقائي في المستوى {0},Auto Loot will be unlocked at Level {0},Récolte Auto se débloquera au Niveau {0},Auto-Sammeln wird auf Stufe {0} freigeschaltet,オートルートはレベル{0}で解放されます,오토 루팅은 레벨 {0}에서 잠금 해제됩니다,Loot Auto será desbloqueado no Nível {0},Recoger Auto se desbloqueará en el Nivel {0},"Otomatik Topla, Seviye {0}'da açılacak",La Raccolta Auto si sbloccherà al Livello {0}
Errors.BossRush.JoinFailed,فشل الانضمام إلى اندفاع الزعماء. يرجى المحاولة مجدداً.,Failed to join Boss Rush. Please try again.,Échec de rejoindre l'Assaut des Boss. Réessaie.,Beitritt zum Boss-Ansturm fehlgeschlagen. Bitte erneut versuchen.,ボスラッシュへの参加に失敗しました。再度お試しください。,보스 러쉬 참여에 실패했습니다. 다시 시도하세요.,Falha ao entrar na Caçada aos Chefes. Tente novamente.,Error al unirse al Asalto de Jefes. Inténtalo de nuevo.,Boss Akını'na katılınamadı. Lütfen tekrar deneyin.,Adesione a Assalto Boss fallita. Riprova.
Errors.BugReport.EmptyFields,الرجاء إدخال البريد الإلكتروني والوصف.,Please enter an email and description.,Veuillez saisir un e-mail et une description.,Bitte gib eine E-Mail-Adresse und eine Beschreibung ein.,メールアドレスと説明を入力してください。,이메일과 설명을 입력해 주세요.,Insira um e-mail e uma descrição.,Introduce un correo electrónico y una descripción.,Lütfen bir e-posta ve açıklama girin.,Inserisci un'email e una descrizione.
Errors.BugReport.Failed,تعذّر إرسال التقرير. حاول مرة أخرى.,Couldn't send your report. Please try again.,Échec de l'envoi du rapport. Veuillez réessayer.,Bericht konnte nicht gesendet werden. Bitte versuche es erneut.,レポートを送信できませんでした。もう一度お試しください。,신고를 전송하지 못했습니다. 다시 시도해 주세요.,Não foi possível enviar o relatório. Tente novamente.,No se pudo enviar el informe. Inténtalo de nuevo.,Rapor gönderilemedi. Lütfen tekrar dene.,Impossibile inviare la segnalazione. Riprova.
Errors.BugReport.InvalidEmail,يرجى إدخال بريد إلكتروني صالح,Please enter a valid email,Saisissez un e-mail valide,Bitte gib eine gültige E-Mail ein,有効なメールアドレスを入力してください,유효한 이메일을 입력하세요,Insira um e-mail válido,Introduce un correo válido,Lütfen geçerli bir email gir,Inserisci un'email valida
Errors.BugReport.Success,تم إرسال تقريرك. شكرًا لك!,Your report has been sent. Thank you!,Votre rapport a été envoyé. Merci !,Dein Bericht wurde gesendet. Danke!,レポートを送信しました。ありがとうございます！,신고가 전송되었습니다. 감사합니다!,Seu relatório foi enviado. Obrigado!,¡Tu informe ha sido enviado. Gracias!,Raporun gönderildi. Teşekkürler!,La tua segnalazione è stata inviata. Grazie!
Errors.Chat.LoadFailed,تعذّر تحميل الدردشة. يرجى المحاولة مجدداً.,Could not load chat. Please try again.,Impossible de charger le chat. Réessaie.,Chat konnte nicht geladen werden. Bitte erneut versuchen.,チャットを読み込めませんでした。再度お試しください。,채팅을 불러올 수 없습니다. 다시 시도하세요.,Não foi possível carregar o chat. Tente novamente.,No se pudo cargar el chat. Inténtalo de nuevo.,Sohbet yüklenemedi. Lütfen tekrar dene.,Impossibile caricare la chat. Riprova.
Errors.Chat.TooManyMessages,رسائل كثيرة جداً! انتظر {0}ث.,Too many messages! Wait {0}s.,Trop de messages ! Attends {0}s.,Zu viele Nachrichten! Warte {0}s.,メッセージが多すぎます!{0}秒待ってください。,메시지가 너무 많습니다! {0}초 기다리세요.,Muitas mensagens! Aguarde {0}s.,¡Demasiados mensajes! Espera {0}s.,Çok fazla mesaj! {0}sn bekle.,Troppi messaggi! Aspetta {0}s.
Errors.Clan.AcceptFailed,فشل قبول الطلب,Failed to accept request,Échec de l'acceptation de la demande,Anfrage konnte nicht angenommen werden,申請を承認できませんでした,신청 수락에 실패했습니다,Falha ao aceitar a solicitação,No se pudo aceptar la solicitud,Başvuru kabul edilemedi,Accettazione della richiesta non riuscita
Errors.Clan.AlreadyInClan,أنت بالفعل في عشيرة,You are already in a clan,Tu es déjà dans un clan,Du bist bereits in einem Clan,すでにクランに所属しています,이미 클랜에 가입되어 있습니다,Você já está em um clã,Ya estás en un clan,Zaten bir klandasın,Sei già in un clan
Errors.Clan.CaptainLimit,تم بلوغ الحد الأقصى لعدد الكباتن,Already have the maximum number of captains,Nombre maximum de capitaines atteint,Maximale Anzahl an Offizieren erreicht,キャプテンの上限に達しています,캡틴 수가 최대입니다,Número máximo de capitães atingido,Ya tienes el máximo de capitanes,Zaten en fazla sayıda kaptan var,Numero massimo di capitani raggiunto
Errors.Clan.CreateFailed,فشل إنشاء العشيرة,Failed to create clan,Échec de la création du clan,Clan konnte nicht gegründet werden,クランを作成できませんでした,클랜 생성에 실패했습니다,Falha ao criar o clã,No se pudo crear el clan,Klan oluşturulamadı,Creazione del clan non riuscita
Errors.Clan.DenyFailed,فشل رفض الطلب,Failed to deny request,Échec du refus de la demande,Anfrage konnte nicht abgelehnt werden,申請を拒否できませんでした,신청 거절에 실패했습니다,Falha ao recusar a solicitação,No se pudo rechazar la solicitud,Başvuru reddedilemedi,Rifiuto della richiesta non riuscito
Errors.Clan.Forbidden,ليست لديك صلاحية للقيام بذلك,You don't have permission to do that,Tu n'as pas la permission de faire ça,Dafür hast du keine Berechtigung,この操作を行う権限がありません,이 작업을 수행할 권한이 없습니다,Você não tem permissão para isso,No tienes permiso para hacer eso,Bunu yapma yetkin yok,Non hai il permesso di farlo
Errors.Clan.Full,العشيرة ممتلئة,Clan is full,Le clan est plein,Der Clan ist voll,クランが満員です,클랜이 가득 찼습니다,O clã está cheio,El clan está lleno,Klan dolu,Il clan è pieno
Errors.Clan.Generic,حدث خطأ ما، يرجى المحاولة مرة أخرى,"Something went wrong, please try again","Une erreur est survenue, réessaie","Etwas ist schiefgelaufen, bitte erneut versuchen",問題が発生しました。もう一度お試しください,문제가 발생했습니다. 다시 시도해 주세요,"Algo deu errado, tente novamente","Algo salió mal, inténtalo de nuevo","Bir şeyler ters gitti, lütfen tekrar dene","Qualcosa è andato storto, riprova"
Errors.Clan.InvalidName,يجب أن يكون اسم العشيرة من 3 إلى 15 حرفًا (أحرف وأرقام فقط),Clan name must be 3-15 characters (letters and numbers only),Le nom du clan doit faire 3 à 15 caractères (lettres et chiffres uniquement),Clanname muss 3-15 Zeichen lang sein (nur Buchstaben und Zahlen),クラン名は3~15文字で入力してください(英数字のみ),클랜 이름은 3~15자여야 합니다 (영문과 숫자만),O nome do clã deve ter 3-15 caracteres (apenas letras e números),El nombre del clan debe tener 3-15 caracteres (solo letras y números),Klan adı 3-15 karakter olmalı (sadece harf ve rakam),Il nome del clan deve avere 3-15 caratteri (solo lettere e numeri)
Errors.Clan.JoinCooldown,يجب الانتظار 24 ساعة بعد مغادرة العشيرة قبل الانضمام إلى أخرى.,You must wait 24 hours after leaving a clan before joining another.,Vous devez attendre 24 heures après avoir quitté un clan avant d'en rejoindre un autre.,"Nach dem Verlassen eines Clans musst du 24 Stunden warten, bevor du einem anderen beitreten kannst.",クランを脱退してから24時間経たないと、別のクランに参加できません。,클랜 탈퇴 후 24시간이 지나야 다른 클랜에 가입할 수 있습니다.,Você deve esperar 24 horas após sair de um clã antes de entrar em outro.,Debes esperar 24 horas tras abandonar un clan antes de unirte a otro.,Bir klandan ayrıldıktan sonra başka birine katılmak için 24 saat beklemelisin.,Devi attendere 24 ore dopo aver lasciato un clan prima di unirti a un altro.
Errors.Clan.JoinFailed,فشل الانضمام إلى العشيرة,Failed to join clan,Impossible de rejoindre le clan,Beitritt zum Clan fehlgeschlagen,クランに参加できませんでした,클랜 가입에 실패했습니다,Falha ao entrar no clã,No se pudo unir al clan,Klana katılınamadı,Impossibile unirsi al clan
Errors.Clan.KickFailed,فشل طرد العضو,Failed to kick member,Échec de l'exclusion du membre,Mitglied konnte nicht entfernt werden,メンバーを追放できませんでした,멤버 추방에 실패했습니다,Falha ao expulsar o membro,No se pudo expulsar al miembro,Üye atılamadı,Espulsione del membro non riuscita
Errors.Clan.LeaveFailed,فشل مغادرة العشيرة,Failed to leave clan,Impossible de quitter le clan,Verlassen des Clans fehlgeschlagen,クランを脱退できませんでした,클랜 탈퇴에 실패했습니다,Falha ao sair do clã,No se pudo salir del clan,Klandan ayrılınamadı,Impossibile abbandonare il clan
Errors.Clan.LoadFailed,فشل تحميل بيانات العشيرة,Failed to load clan data,Échec du chargement des données du clan,Clandaten konnten nicht geladen werden,クラン情報を読み込めませんでした,클랜 정보를 불러오지 못했습니다,Falha ao carregar os dados do clã,No se pudieron cargar los datos del clan,Klan verileri yüklenemedi,Caricamento dati del clan non riuscito
Errors.Clan.NameTaken,اسم العشيرة مستخدم بالفعل,This clan name is already taken,Ce nom de clan est déjà pris,Dieser Clanname ist bereits vergeben,このクラン名はすでに使われています,이미 사용 중인 클랜 이름입니다,Este nome de clã já está em uso,Ese nombre de clan ya está en uso,Bu klan adı zaten alınmış,Questo nome di clan è già in uso
Errors.Clan.NotFound,لم يتم العثور على العشيرة,Clan not found,Clan introuvable,Clan nicht gefunden,クランが見つかりません,클랜을 찾을 수 없습니다,Clã não encontrado,Clan no encontrado,Klan bulunamadı,Clan non trovato
Errors.Clan.NotInClan,أنت لست في عشيرة,You are not in a clan,Tu n'es pas dans un clan,Du bist in keinem Clan,クランに所属していません,클랜에 가입되어 있지 않습니다,Você não está em um clã,No estás en un clan,Bir klanda değilsin,Non sei in un clan
Errors.Clan.Profanity,يرجى إزالة الكلمات غير اللائقة,Please remove inappropriate words,Merci de retirer les mots inappropriés,Bitte unangemessene Wörter entfernen,不適切な言葉を削除してください,부적절한 단어를 제거해 주세요,Remova as palavras inapropriadas,Elimina las palabras inapropiadas,Lütfen uygunsuz kelimeleri kaldır,Rimuovi le parole inappropriate
Errors.Clan.RequestAlreadyPending,طلبك معلق بالفعل,Request already pending,Demande déjà en attente,Anfrage bereits ausstehend,申請はすでに保留中です,이미 신청이 대기 중입니다,Solicitação já pendente,Solicitud ya pendiente,Başvurun zaten beklemede,Richiesta già in sospeso
Errors.Clan.RequestCooldown,لقد بلغت الحد اليومي لطلبات الانضمام,Daily join request limit reached,Limite quotidienne de demandes atteinte,Tägliches Anfragelimit erreicht,1日の申請上限に達しました,일일 가입 신청 한도에 도달했습니다,Limite diário de solicitações atingido,Límite diario de solicitudes alcanzado,Günlük başvuru sınırına ulaştın,Limite giornaliero di richieste raggiunto
Errors.Clan.RequestFailed,فشل إرسال الطلب,Failed to send request,Échec de l'envoi de la demande,Anfrage konnte nicht gesendet werden,申請を送信できませんでした,신청 전송에 실패했습니다,Falha ao enviar a solicitação,No se pudo enviar la solicitud,Başvuru gönderilemedi,Invio della richiesta non riuscito
Errors.Clan.RequestNotPending,هذا الطلب لم يعد معلقًا,This request is no longer pending,Cette demande n'est plus en attente,Diese Anfrage ist nicht mehr ausstehend,この申請はすでに処理されています,이 신청은 더 이상 대기 중이 아닙니다,Esta solicitação não está mais pendente,Esta solicitud ya no está pendiente,Bu başvuru artık beklemede değil,Questa richiesta non è più in sospeso
Errors.Clan.RoleChangeFailed,فشل تغيير الرتبة,Failed to change role,Échec du changement de rôle,Rolle konnte nicht geändert werden,役職を変更できませんでした,역할 변경에 실패했습니다,Falha ao alterar o cargo,No se pudo cambiar el rol,Rütbe değiştirilemedi,Cambio di ruolo non riuscito
Errors.Clan.SaveFailed,فشل حفظ التغييرات,Failed to save changes,Échec de l'enregistrement,Änderungen konnten nicht gespeichert werden,変更を保存できませんでした,변경 사항 저장에 실패했습니다,Falha ao salvar as alterações,No se pudieron guardar los cambios,Değişiklikler kaydedilemedi,Salvataggio non riuscito
Errors.Clan.SearchFailed,فشل البحث,Search failed,Échec de la recherche,Suche fehlgeschlagen,検索に失敗しました,검색에 실패했습니다,Falha na busca,Error en la búsqueda,Arama başarısız,Ricerca non riuscita
Errors.Clan.StateChanged,تغيّرت الحالة، حدّث وأعد المحاولة,"State changed, refresh and retry","L'état a changé, actualise et réessaie","Status geändert, aktualisieren und erneut versuchen",状態が変わりました。更新して再試行してください,상태가 변경되었습니다. 새로고침 후 다시 시도하세요,"O estado mudou, atualize e tente novamente","El estado cambió, actualiza y reintenta","Durum değişti, yenileyip tekrar dene","Stato cambiato, aggiorna e riprova"
Errors.Clan.Validation,إدخال غير صالح,Invalid input,Saisie invalide,Ungültige Eingabe,入力が無効です,잘못된 입력입니다,Entrada inválida,Entrada no válida,Geçersiz giriş,Input non valido
Errors.ClanWar.AlreadyClaimed,تم جمعها بالفعل.,Already claimed.,Déjà récupéré.,Bereits abgeholt.,すでに受け取り済みです。,이미 수령했습니다.,Já resgatado.,Ya reclamado.,Zaten toplandı.,Già riscosso.
Errors.ClanWar.AlreadyDefeated,هذا الخصم مهزوم بالفعل.,This enemy has already been defeated.,Cet ennemi a déjà été vaincu.,Dieser Gegner wurde bereits besiegt.,この敵はすでに撃破されています。,이 적은 이미 처치되었습니다.,Este inimigo já foi derrotado.,Este enemigo ya ha sido derrotado.,Bu düşman zaten yenildi.,Questo nemico è già stato sconfitto.
Errors.ClanWar.ClaimFailed,تعذّر جمع المكافأة.,Failed to claim the reward.,Échec de la récupération de la récompense.,Belohnung konnte nicht abgeholt werden.,報酬を受け取れませんでした。,보상을 받지 못했습니다.,Falha ao resgatar a recompensa.,No se pudo reclamar la recompensa.,Ödül toplanamadı.,Impossibile riscuotere la ricompensa.
Errors.ClanWar.LoadFailed,تعذّر تحميل بيانات حرب العشيرة.,Failed to load clan war data.,Échec du chargement des données de guerre de clans.,Clankrieg-Daten konnten nicht geladen werden.,クラン戦争のデータを読み込めませんでした。,클랜전 데이터를 불러오지 못했습니다.,Falha ao carregar os dados da guerra de clãs.,No se pudieron cargar los datos de la guerra de clanes.,Klan savaşı verileri yüklenemedi.,Impossibile caricare i dati della guerra tra clan.
Errors.ClanWar.MilestoneNotReached,لم يتم بلوغ المرحلة بعد.,Milestone not reached yet.,Palier pas encore atteint.,Meilenstein noch nicht erreicht.,マイルストーンにまだ到達していません。,아직 마일스톤에 도달하지 않았습니다.,Marco ainda não alcançado.,Aún no has alcanzado este hito.,Hedefe henüz ulaşılmadı.,Traguardo non ancora raggiunto.
Errors.ClanWar.NoTickets,لم تتبق تذاكر.,No tickets remaining.,Plus de tickets restants.,Keine Tickets mehr übrig.,チケットが残っていません。,남은 티켓이 없습니다.,Não restam tickets.,No quedan tickets.,Bilet kalmadı.,Nessun biglietto rimasto.
Errors.ClanWar.NoWar,لا توجد حرب عشائر نشطة.,No active clan war.,Aucune guerre de clans en cours.,Kein aktiver Clankrieg.,進行中のクラン戦争はありません。,진행 중인 클랜전이 없습니다.,Não há guerra de clãs ativa.,No hay guerra de clanes activa.,Aktif klan savaşı yok.,Nessuna guerra tra clan attiva.
Errors.ClanWar.NotEligible,أنت غير مؤهل لهذا الإجراء.,You are not eligible for this action.,Vous n'êtes pas éligible pour cette action.,Du bist für diese Aktion nicht berechtigt.,このアクションを実行する資格がありません。,이 작업을 수행할 자격이 없습니다.,Você não é elegível para esta ação.,No cumples los requisitos para esta acción.,Bu işlem için uygun değilsin.,Non sei idoneo per questa azione.
Errors.ClanWar.NotInPvpDay,معارك PvP متاحة في اليوم 6 فقط.,PvP battles are only available on Day 6.,Les combats PvP ne sont disponibles que le jour 6.,PvP-Kämpfe sind nur an Tag 6 verfügbar.,PvPバトルは6日目のみ利用できます。,PvP 전투는 6일 차에만 가능합니다.,As batalhas PvP só estão disponíveis no dia 6.,Las batallas PvP solo están disponibles el día 6.,PvP savaşları yalnızca 6. Gün'de yapılabilir.,PvP-Kämpfe? Le battaglie PvP sono disponibili solo il giorno 6.
Errors.ClanWar.NothingToClaim,لا يوجد ما يمكن جمعه.,Nothing to claim.,Rien à récupérer.,Nichts zum Abholen.,受け取れるものがありません。,수령할 항목이 없습니다.,Nada para resgatar.,Nada que reclamar.,Toplanacak ödül yok.,Niente da riscuotere.
Errors.ClanWar.RateLimited,طلبات كثيرة جدًا. يُرجى الانتظار قليلًا.,Too many requests. Please wait a moment.,Trop de requêtes. Veuillez patienter un instant.,Zu viele Anfragen. Bitte warte einen Moment.,リクエストが多すぎます。しばらくお待ちください。,요청이 너무 많습니다. 잠시 후 다시 시도하세요.,Muitas solicitações. Aguarde um momento.,Demasiadas solicitudes. Espera un momento.,Çok fazla istek. Lütfen biraz bekle.,Troppe richieste. Attendi un momento.
Errors.ClanWar.StartBattleFailed,تعذّر بدء المعركة.,Failed to start the battle.,Échec du lancement du combat.,Kampf konnte nicht gestartet werden.,バトルを開始できませんでした。,전투를 시작하지 못했습니다.,Falha ao iniciar a batalha.,No se pudo iniciar la batalla.,Savaş başlatılamadı.,Impossibile avviare la battaglia.
Errors.ClanWar.TargetNotInRound,هذا الهدف ليس ضمن الجولة الحالية.,This target is not part of the current round.,Cette cible ne fait pas partie de la manche en cours.,Dieses Ziel ist nicht Teil der aktuellen Runde.,このターゲットは現在のラウンドに含まれていません。,이 대상은 현재 라운드에 포함되어 있지 않습니다.,Este alvo não faz parte da rodada atual.,Este objetivo no forma parte de la ronda actual.,Bu hedef mevcut turda yer almıyor.,Questo bersaglio non fa parte del round attuale.
Errors.ClanWar.WrongState,تغيّرت حالة الحرب. حدّث وحاول مرة أخرى.,The war state has changed. Refresh and try again.,L'état de la guerre a changé. Actualisez et réessayez.,Der Kriegsstatus hat sich geändert. Aktualisiere und versuche es erneut.,戦争の状態が変わりました。更新してもう一度お試しください。,전쟁 상태가 변경되었습니다. 새로고침 후 다시 시도하세요.,O estado da guerra mudou. Atualize e tente novamente.,El estado de la guerra ha cambiado. Actualiza e inténtalo de nuevo.,Savaş durumu değişti. Yenileyip tekrar dene.,Lo stato della guerra è cambiato. Aggiorna e riprova.
Errors.ComingSoon,قريباً,Coming Soon,Bientôt,Demnächst,近日公開,출시 예정,Em breve,Próximamente,Yakında,Prossimamente
Errors.ConnectionFailed,فشل الاتصال,Connection failed,Échec de connexion,Verbindung fehlgeschlagen,接続に失敗しました,연결 실패,Falha de conexão,Error de conexión,Bağlantı başarısız,Connessione fallita
Errors.InsufficientResources,موارد غير كافية,Insufficient Resources,Ressources insuffisantes,Nicht genug Ressourcen,リソース不足,자원 부족,Recursos insuficientes,Recursos insuficientes,Yetersiz Kaynak,Risorse insufficienti
Errors.Mining.NoDrills,لا توجد مثاقب كافية!,No drills available!,Pas assez de foreuses !,Nicht genug Bohrer!,ドリルが足りません!,드릴이 부족합니다!,Furadeiras insuficientes!,¡No hay suficientes taladros!,Yeterli matkap yok!,Trapani non sufficienti!
Errors.Mining.NoGoldenPickaxes,لا توجد معاول ذهبية كافية!,No golden pickaxes available!,Pas assez de pioches en or !,Nicht genug Goldspitzhacken!,ゴールドピッケルが足りません!,황금 곡괭이가 부족합니다!,Picaretas de ouro insuficientes!,¡No hay suficientes picos de oro!,Yeterli altın kazma yok!,Picconi d'oro non sufficienti!
Errors.Mining.NoPath,لا يوجد مسار متاح!,No path available!,Aucun chemin disponible !,Kein Pfad verfügbar!,経路がありません!,이용 가능한 경로가 없습니다!,Sem caminho disponível!,¡No hay camino disponible!,Ulaşılabilir yol yok!,Nessun percorso disponibile!
Errors.Mining.NoPickaxes,لا توجد معاول كافية!,No pickaxes available!,Pas assez de pioches !,Nicht genug Spitzhacken!,ピッケルが足りません!,곡괭이가 부족합니다!,Picaretas insuficientes!,¡No hay suficientes picos!,Yeterli kazma yok!,Picconi non sufficienti!
Errors.Mining.TooDeep,عميق جداً! حطم الكتل العلوية أولاً.,Too deep! Mine upper blocks first.,Trop profond ! Mine d'abord les blocs au-dessus.,Zu tief! Brich erst die oberen Blöcke ab.,深すぎます!まず上のブロックを採掘してください。,너무 깊습니다! 먼저 위쪽 블록을 채굴하세요.,Profundidade excessiva! Minere primeiro os blocos acima.,¡Demasiado profundo! Mina primero los bloques superiores.,Çok derin! Önce üstteki blokları kır.,Troppo profondo! Rompi prima i blocchi sopra.
Errors.NetworkError,خطأ في الشبكة.,Network error.,Erreur réseau.,Netzwerkfehler.,ネットワークエラー。,네트워크 오류.,Erro de rede.,Error de red.,Bağlantı hatası.,Errore di rete.
Errors.NotEnoughGems,لا تملك جواهر كافية!,Not enough gems!,Pas assez de gemmes !,Nicht genug Edelsteine!,ジェムが足りません!,젬이 부족합니다!,Gemas insuficientes!,¡No tienes suficientes gemas!,Yeterli elmasın yok!,Gemme insufficienti!
Errors.PvP.FindOpponentsFailed,فشل البحث عن الخصوم.,Failed to find opponents.,Échec de recherche d'adversaires.,Gegnersuche fehlgeschlagen.,対戦相手の検索に失敗しました。,상대 검색에 실패했습니다.,Falha ao buscar oponentes.,Error al buscar oponentes.,Rakipler aranırken hata oluştu.,Ricerca avversari fallita.
Errors.PvP.GetResultsFailed,فشل الحصول على نتائج المعركة.,Failed to get battle results.,Échec de récupération des résultats.,Kampfergebnisse konnten nicht abgerufen werden.,バトル結果の取得に失敗しました。,전투 결과를 가져오지 못했습니다.,Falha ao obter resultados do combate.,Error al obtener los resultados del combate.,Maç sonuçları alınamadı.,Recupero risultati battaglia fallito.
Errors.PvP.GrantTicketFailed,فشلت إضافة التذكرة.,Failed to grant ticket.,Échec d'ajout du ticket.,Ticket konnte nicht hinzugefügt werden.,チケットの付与に失敗しました。,티켓 추가에 실패했습니다.,Falha ao adicionar ticket.,Error al añadir el ticket.,Bilet eklenemedi.,Aggiunta del ticket fallita.
Errors.PvP.LoadFailed,فشل تحميل PvP.,Failed to load PvP.,Échec du chargement PvP.,PvP konnte nicht geladen werden.,PvPの読み込みに失敗しました。,PvP를 불러오지 못했습니다.,Falha ao carregar PvP.,Error al cargar PvP.,PvP yüklenemedi.,Caricamento PvP fallito.
Errors.PvP.LoadLeaderboardFailed,فشل تحميل لوحة المتصدرين.,Failed to load leaderboard.,Échec du chargement du classement.,Bestenliste konnte nicht geladen werden.,ランキングの読み込みに失敗しました。,랭킹을 불러오지 못했습니다.,Falha ao carregar o ranking.,Error al cargar la clasificación.,Liderlik tablosu yüklenemedi.,Caricamento classifica fallito.
Errors.PvP.MissingBattleToken,رمز المعركة مفقود.,Missing battle token.,Token de combat manquant.,Kampf-Token fehlt.,バトルトークンがありません。,전투 토큰이 없습니다.,Token de combate ausente.,Falta el token de combate.,Maç bilgisi bulunamadı.,Token di battaglia mancante.
